序号,城市,运营线路条数,运营里程（公里）,客运量（万人次）,进站量（万人次）,客运强度（万人次每公里日）,时间
1,上海,20,825.0,32893.7,18193.8,1.29,202303
2,北京,27,807.0,30243.6,16639.6,1.21,202303
3,广州,18,609.8,27028.8,14560.5,1.43,202303
4,深圳,17,558.6,23706.4,13857.1,1.37,202303
5,成都,13,557.8,18455.1,10451.4,1.07,202303
6,杭州,12,516.0,11768.5,7191.7,0.74,202303
7,武汉,14,504.3,12191.9,7743.4,0.78,202303
8,重庆,10,455.9,11446.9,7231.3,0.81,202303
9,南京,14,448.8,9246.1,5527.8,0.66,202303
10,青岛,8,323.8,3689.6,2600.9,0.37,202303
11,天津,8,286.0,5003.2,3133.4,0.56,202303
12,西安,8,272.4,10809.4,7037.9,1.28,202303
13,苏州,7,254.2,4050.0,2489.0,0.51,202303
14,大连,6,237.1,1951.5,1484.3,0.28,202303
15,郑州,8,233.0,5109.1,3196.8,0.71,202303
16,沈阳,10,216.7,4021.3,2730.8,0.6,202303
17,长沙,7,209.1,7917.4,4222.9,1.22,202303
18,宁波,6,186.0,3186.6,1819.7,0.55,202303
19,合肥,5,168.8,3539.6,2356.2,0.68,202303
20,昆明,6,165.9,2550.1,1839.9,0.5,202303
21,南昌,4,128.5,3170.8,1917.6,0.8,202303
22,南宁,5,128.2,3021.5,1822.0,0.76,202303
23,佛山,6,127.31,1247.2,964.4,0.32,202303
24,无锡,4,110.8,1667.0,1126.0,0.49,202303
25,福州,4,110.7,1653.0,1261.0,0.48,202303
26,长春,5,106.7,1849.4,1307.7,0.56,202303
27,厦门,3,98.4,2121.6,1632.5,0.7,202303
28,济南,3,84.1,827.7,597.7,0.32,202303
29,哈尔滨,3,78.1,2250.5,1486.9,0.93,202303
30,贵阳,2,74.4,1067.1,839.4,0.46,202303
31,石家庄,3,74.3,1367.2,950.7,0.59,202303
32,徐州,3,64.1,805.8,567.7,0.41,202303
33,常州,2,54.0,567.9,466.0,0.34,202303
34,温州,1,52.5,101.2,101.2,0.06,202303
35,呼和浩特,2,49.0,569.6,460.3,0.37,202303
36,绍兴,2,47.1,336.9,192.7,0.23,202303
37,芜湖,2,46.2,281.4,241.7,0.2,202303
38,洛阳,2,43.5,398.6,298.5,0.3,202303
39,南通,1,38.5,170.9,170.9,0.14,202303
40,东莞,1,37.8,367.7,367.7,0.31,202303
41,乌鲁木齐,1,26.8,310.2,310.2,0.37,202303
