城市,运营线路条数,运营里程（公里）,客运量（万人次）,进站量（万人次）,客运强度（万人次每公里日）,类别
广州,17.39,589.94,22781.53,12389.17,1.27,A类城市
深圳,14.25,478.92,18477.56,11074.17,1.27,A类城市
上海,19.69,806.97,26401.46,14658.31,1.08,A类城市
北京,26.08,774.70,24408.89,13318.70,1.04,A类城市
西安,8.19,262.06,8555.72,5520.01,1.07,B类城市
长沙,6.53,185.85,5928.14,3265.95,1.04,B类城市
苏州,8.25,262.18,3666.98,2299.41,1.03,B类城市
成都,13.06,560.24,15265.98,8644.41,0.90,B类城市
重庆,9.69,416.55,9240.22,6004.99,0.73,B类城市
杭州,10.42,428.96,8950.84,5572.14,0.69,B类城市
武汉,13.42,467.35,9054.69,5848.41,0.64,B类城市
南京,13.03,424.24,7359.30,4264.40,0.57,B类城市
南昌,3.69,116.40,2443.23,1498.77,0.70,C类城市
南宁,4.69,121.20,2530.44,1565.50,0.69,C类城市
兰州,1.19,27.06,570.97,546.50,0.68,C类城市
哈尔滨,2.78,66.78,1355.48,927.87,0.65,C类城市
厦门,2.86,94.69,1705.25,1324.36,0.59,C类城市
合肥,4.69,147.94,2633.96,1797.69,0.59,C类城市
咸阳,1.00,10.70,158.35,116.77,0.59,C类城市
郑州,7.58,222.56,3613.87,2350.93,0.53,C类城市
沈阳,10.11,221.85,3311.56,2234.79,0.49,C类城市
福州,3.19,89.44,1298.30,1017.62,0.49,C类城市
天津,7.11,263.12,3764.92,2386.59,0.47,C类城市
长春,5.00,105.74,1492.01,1027.69,0.46,C类城市
宁波,5.69,175.11,2451.27,1414.90,0.46,C类城市
石家庄,3.00,73.03,976.41,694.85,0.43,C类城市
昆明,5.53,153.39,1942.19,1427.44,0.42,C类城市
无锡,3.69,103.56,1246.72,889.82,0.40,C类城市
贵阳,1.94,72.28,878.67,703.53,0.40,C类城市
佛山,4.42,81.32,844.57,694.51,0.36,C类城市
青岛,7.36,292.69,2790.70,1999.55,0.31,C类城市
大连,4.97,199.79,1487.97,1149.62,0.24,C类城市
太原,1.00,23.34,310.27,310.52,0.44,D类城市
徐州,2.86,61.58,607.54,445.80,0.32,D类城市
乌鲁木齐,1.00,26.80,242.08,242.08,0.30,D类城市
常州,1.86,51.25,461.41,384.77,0.30,D类城市
呼和浩特,2.00,49.00,430.24,348.56,0.29,D类城市
东莞,1.00,37.80,329.54,329.54,0.29,D类城市
洛阳,1.74,38.68,293.17,231.21,0.24,D类城市
济南,2.94,82.08,573.35,421.93,0.23,D类城市
芜湖,2.00,46.20,235.90,199.12,0.17,D类城市
绍兴,1.87,40.53,214.10,128.35,0.16,D类城市
南通,1.07,39.95,161.89,160.59,0.14,D类城市
准安,1.00,20.10,59.50,59.50,0.10,D类城市
淮安,1.00,20.13,54.49,54.49,0.09,D类城市
镇江,1.00,17.30,44.58,26.80,0.08,D类城市
温州,1.00,52.50,92.52,89.62,0.06,D类城市
嘉兴,1.29,26.00,34.56,30.76,0.05,D类城市
黄石,1.00,26.80,31.69,31.69,0.04,D类城市
三亚,1.00,8.40,8.66,8.62,0.03,D类城市
天水,1.00,12.90,6.56,6.44,0.02,D类城市
珠海,1.00,8.40,2.95,2.95,0.01,D类城市
红河,1.00,13.40,2.43,2.43,0.01,D类城市
文山,1.00,13.40,3.13,3.09,0.01,D类城市
